,MCS UL,WB CQI_bins
588,22.0,12
589,22.0,12
590,15.5,12
591,22.0,12
592,16.875,12
593,13.8,12
594,21.0,12
595,17.166666666666668,12
596,23.666666666666668,12
597,23.0,12
598,11.0,12
599,23.0,12
600,20.0,12
601,25.33333333333333,12
602,24.33333333333333,12
603,22.0,12
604,21.0,12
605,19.25,12
606,25.5,12
607,25.0,12
608,14.666666666666666,12
609,24.8,12
610,22.0,12
611,23.0,12
612,23.0,12
613,21.666666666666668,12
614,15.333333333333334,12
615,14.363636363636363,12
616,27.0,12
617,14.666666666666666,12
618,18.25,12
619,24.0,12
620,25.75,12
621,12.0,12
622,16.833333333333332,12
623,16.666666666666668,12
624,15.375,12
625,23.0,12
626,15.333333333333334,12
627,11.5,12
628,9.0,12
629,13.0,12
630,16.666666666666668,12
631,25.5,12
632,26.5,12
633,26.0,12
634,25.0,12
635,19.5,12
636,25.0,12
637,26.0,12
638,25.0,12
639,25.0,12
640,27.0,12
641,27.0,12
642,26.0,12
643,26.0,12
644,16.666666666666668,12
645,21.2,12
646,25.25,12
647,26.666666666666668,12
648,12.5,12
649,21.4,12
650,27.0,12
651,25.5,12
652,25.666666666666668,12
653,17.333333333333332,12
654,26.0,12
655,26.0,12
656,26.33333333333333,12
657,25.0,12
658,26.33333333333333,12
659,6.25,12
660,26.0,12
661,12.5,12
662,20.4,12
663,16.833333333333332,12
664,,12
665,18.666666666666668,12
666,7.8,12
667,9.5,12
668,17.5,12
669,21.0,12
670,19.0,12
671,,12
672,21.0,12
673,0.0,12
674,19.0,12
675,10.0,12
676,20.2,12
677,20.2,12
678,9.0,12
679,10.75,12
680,15.714285714285714,12
681,,12
682,18.2,12
683,15.285714285714286,12
684,,12
685,21.33333333333333,12
686,22.0,12
687,20.75,12
688,12.666666666666666,12
689,16.25,12
690,18.0,12
691,22.5,12
692,22.6,12
693,13.75,12
694,27.0,12
695,18.666666666666668,12
696,24.666666666666668,12
697,27.0,12
698,15.666666666666666,12
699,10.0,12
700,21.0,12
701,10.0,12
702,14.333333333333334,12
703,10.0,12
704,21.0,12
705,10.5,12
706,17.5,12
707,10.0,12
